,Candidate,clean_name,State,District,num_candidates_in_race,Office Type,Race Type,Primary Status,Primary Runoff Status,General Status,Primary %,Endorsements,district_identifier,district_lean,Cand_Office,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date,Republican?,Challenger?(else_open),received_endorsements?
0,Lizzetta Hill McConnell,lizzetta hill mcconnell,AL,U.S. House Alabama District 1,2,Representative,Regular,Lost,None,None,19.23,0.0,AL-1,-31.938509999999997,H,DEM,CHALLENGER,5127.0,6021.0,-894.0,0.0,2735.0,2392.0,5127.0,0.0,0.0,0.0,5127.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5127.0,6021.0,0.0,0.0,02/03/2018,False,True,False
1,Mallory Hagan,mallory hagan,AL,U.S. House Alabama District 3,2,Representative,Regular,Advanced,None,On the Ballot,65.739998,0.0,AL-3,-35.23648,H,DEM,CHALLENGER,467514.71,464472.2,2917.53,2493.22,215160.38,194148.88,409309.26,30500.0,500.0,0.0,440309.26,0.0,0.0,0.0,0.0,27205.45,0,0,0.0,433536.77,0.0,0.0,0.0,0.0,0.0,0.0,3935.43,0.0,0.0,3935.43,27000.0,436373.83,406331.32,0.0,0.0,01/01/2018,False,True,False
2,Peter Joffrion,peter joffrion,AL,U.S. House Alabama District 5,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,AL-5,-32.37688,H,DEM,CHALLENGER,590173.38,587237.93,2935.45,0.0,417234.37,136152.16,553386.53,29823.41,0.0,1156.51,584366.45,0.0,5000.0,0.0,5000.0,0.0,0,0,806.93,566967.63,0.0,0.0,0.0,5000.0,0.0,5000.0,5670.3,0.0,4000.0,9670.3,5600.0,574696.15,566967.63,0.0,0.0,04/01/2017,False,True,False
3,Danner Kline,danner kline,AL,U.S. House Alabama District 6,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,AL-6,-41.60968,H,DEM,CHALLENGER,287432.23,287432.23,0.0,0.0,190763.5,86850.73,277614.23,9000.0,0.0,818.0,287432.23,0.0,0.0,0.0,0.0,0.0,0,0,0.0,285091.56,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,2305.67,287397.23,285091.56,0.0,2285.67,04/01/2017,False,True,False
4,Steve Smith,steve smith,AZ,U.S. House Arizona District 1,3,Representative,Regular,Lost,None,None,37.8,3.0,AZ-1,-5.63324,H,REP,CHALLENGER,438887.91,438701.54,186.37,0.0,385250.35,23137.56,408387.91,30500.0,0.0,0.0,438887.91,0.0,0.0,0.0,0.0,0.0,0,0,0.0,362551.54,0.0,0.0,0.0,0.0,0.0,0.0,75150.0,0.0,1000.0,76150.0,0.0,362737.91,362551.54,0.0,0.0,05/15/2017,True,True,True
5,Wendy Rogers,wendy rogers,AZ,U.S. House Arizona District 1,3,Representative,Regular,Advanced,None,On the Ballot,43.4,1.0,AZ-1,-5.63324,H,REP,CHALLENGER,1423836.68,1427124.4,1702.07,34837.38,1157664.0,144586.0,1302250.0,83750.0,5000.0,698.53,1391698.53,0.0,8000.0,0.0,8000.0,23933.89,0,0,204.26,1415824.4,0.0,0.0,0.0,5000.0,0.0,5000.0,6300.0,0.0,0.0,6300.0,0.0,1385398.53,1391890.51,4989.79,0.0,01/01/2017,True,True,True
6,Tiffany Shedd,tiffany shedd,AZ,U.S. House Arizona District 1,3,Representative,Regular,Lost,None,None,18.8,1.0,AZ-1,-5.63324,H,REP,CHALLENGER,598230.31,594796.85,3433.46,294340.37,267121.16,21290.53,288411.69,59752.63,0.0,20442.62,368606.94,0.0,229000.0,0.0,229000.0,622.9,0,0,0.47,557993.19,0.0,0.0,0.0,0.0,0.0,0.0,31800.0,0.0,5000.0,36800.0,3.66,331806.94,557370.29,0.0,0.0,06/01/2017,True,True,True
7,Sergio Arellano,sergio arellano,AZ,U.S. House Arizona District 3,3,Representative,Regular,Lost,None,None,27.3,0.0,AZ-3,21.57156,H,REP,CHALLENGER,40346.71,40346.71,0.0,0.0,27094.69,9745.5,36840.19,0.0,0.0,3481.52,40321.71,0.0,0.0,0.0,0.0,25.0,0,0,0.0,40346.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40321.71,40321.71,0.0,0.0,12/13/2017,True,True,False
8,Debbie Lesko,debbie lesko,AZ,U.S. House Arizona District 8,14,Representative,Special,Advanced,None,On the Ballot,35.77,3.0,AZ-8,-24.07534,H,REP,INCUMBENT,2103473.83,2032633.16,70840.67,0.0,905744.31,545146.29,1450890.6,543415.08,20000.0,1703.59,2016009.27,2359.84,25000.0,0.0,25000.0,2698.41,0,0,57406.31,1999285.36,0.0,0.0,0.0,25000.0,0.0,25000.0,2345.0,0.0,0.0,2345.0,6002.8,2013664.27,1996586.95,0.0,0.0,10/01/2017,True,False,True
9,Bob Stump,bob stump,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,5.37,0.0,AZ-8,-24.07534,H,REP,OPEN,21980.0,21980.0,13484.68,0.0,20900.0,1080.0,21980.0,0.0,0.0,0.0,21980.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21980.0,21980.0,13484.68,0.0,01/01/2017,True,False,False
10,Phil Lovas,phil lovas,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,23.88,0.0,AZ-8,-24.07534,H,REP,OPEN,318412.83,318412.83,0.0,0.0,242128.0,9489.0,251617.0,15250.0,0.0,5806.43,272673.43,0.0,40000.0,0.0,40000.0,5739.4,0,0,0.0,273012.83,0.0,0.0,0.0,40000.0,0.0,40000.0,5400.0,0.0,0.0,5400.0,0.0,267273.43,267273.43,0.0,0.0,01/01/2017,True,False,False
11,Richard Mack,richard mack,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.42,0.0,AZ-8,-24.07534,H,REP,OPEN,72709.69,72709.69,0.0,0.0,18210.0,22067.69,40277.69,0.0,0.0,8232.0,48509.69,0.0,24200.0,0.0,24200.0,0.0,0,0,0.0,70689.22,0.0,0.0,0.0,2020.47,0.0,2020.47,0.0,0.0,0.0,0.0,0.0,48509.69,70689.22,0.0,0.0,01/01/2018,True,False,False
12,Stephen Dolgos,stephen dolgos,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,0.48,0.0,AZ-8,-24.07534,H,REP,OPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,False,False
13,Steve Montenegro,steve montenegro,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,23.82,0.0,AZ-8,-24.07534,H,REP,OPEN,356446.69,356446.69,0.0,0.0,238598.24,82848.45,321446.69,35000.0,0.0,0.0,356446.69,0.0,0.0,0.0,0.0,0.0,0,0,0.0,347346.69,0.0,0.0,0.0,0.0,0.0,0.0,9100.0,0.0,0.0,9100.0,0.0,347346.69,347346.69,0.0,0.0,12/11/2017,True,False,False
14,Christopher Sylvester,christopher sylvester,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.92,0.0,AZ-8,-24.07534,H,IND,OPEN,8403.13,7917.18,485.95,0.0,0.0,629.0,629.0,0.0,0.0,7774.13,8403.13,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6409.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507.5,8403.13,6409.68,0.0,0.0,10/01/2017,False,False,False
15,David Lien,david lien,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.77,0.0,AZ-8,-24.07534,H,REP,OPEN,17745.0,19382.76,-1637.76,0.0,14350.0,1245.0,15595.0,0.0,0.0,2000.0,17595.0,0.0,0.0,0.0,0.0,150.0,0,0,0.0,19382.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17595.0,19232.76,0.0,0.0,12/04/2017,True,False,False
16,Chad Allen,chad allen,AZ,U.S. House Arizona District 8,14,Representative,Special,Lost,None,None,1.05,0.0,AZ-8,-24.07534,H,REP,OPEN,33011.58,33011.58,0.0,0.0,4450.0,175.0,4625.0,0.0,0.0,28386.58,33011.58,0.0,0.0,0.0,0.0,0.0,0,0,0.0,30625.67,0.0,0.0,0.0,0.0,0.0,0.0,2385.91,0.0,0.0,2385.91,0.0,30625.67,30625.67,0.0,0.0,12/18/2017,True,False,False
